excessret,high52,mom12m,mom6m,maxret,mom12moffseason,realizedvol,idiovolaht,zerotrade,indretbig,returnskew
-0.051002,0.76358145,-0.14239395,0.17163476,-0.0175219066441059,-0.0077512171119452,-0.0107422543588828,-0.0144075672471267,2.1667041e-08,-0.0054546680636602,-0.288198599542603
0.073005,0.89051098,-0.050934341,0.043362122,-0.033333346247673,-0.0143981910983307,-0.0122573144290783,-0.0331047950588359,1.5397237e-07,0.0475331566163472,-0.43434349779794
0.064222,0.99853396,0.088313118,0.23603946,-0.0469314195215702,0.0373977478593588,-0.0159275355271853,-0.0259906809256878,1.0702383e-08,0.0657019761153617,-0.885587942901977
0.0415549999999999,1.0124898,-0.028780932,0.34171045,-0.0310734026134014,0.0488321797715293,-0.0178730480589165,-0.0305426165502229,1.1785515e-08,0.0292766300992319,-0.263757649889917
0.147376,0.51668352,-0.37412101,-0.043010812,-0.0619658045470715,-0.056335430036092,-0.0245550540165853,-0.0429436941421696,4.1402728e-08,0.102665035197368,-0.946359502256325
0.0148339999999999,0.62225145,-0.36745483,-0.063914739,-0.0295139029622078,-0.0273723853752017,-0.01619020910847,-0.015250854306832,4.3148027e-08,0.0528897072266166,-0.0341759128560281
-0.318928,0.35081968,-0.2971628,0.10226379,-0.112597465515137,-0.0037832140094704,-0.0898190306111056,-0.0513683045243821,7.8821323e-09,0.124418015394579,3.28301848767011
0.155859,0.70575178,-0.32660899,-0.086611196,-0.0564955547451973,-0.0362455967503289,-0.0186809542249152,-0.0146164307655888,3.762862e-08,-0.0195046708706004,-0.687121984375475
0.042269,0.81818181,-0.10535049,-0.12176315,-0.0166580658406019,-0.0097679948020313,-0.0091812774882636,-0.0162431652547418,2.367219e-08,0.0104895766595936,0.16062930574277
0.238692,0.88925618,-0.17958409,0.0023095184,-0.0714975595474243,0.0238459378273951,-0.0307086528105668,-0.0432768919959464,1.3606024e-08,0.0100834738903149,0.343802045228459
0.006214,0.79315007,-0.10744387,0.052253161,-0.0200286339968443,-0.0137367838631488,-0.0122330625013004,-0.0136961218884375,5.993784e-08,0.0670978478997488,-0.117952788607957
0.115558,0.33351025,-0.66122103,0.19393939,-0.100250586867333,0.0479400555292765,-0.0353845799618248,-0.0583286031723958,0.16666678,0.108602142710879,-0.584746931293885
-0.015187,0.6380403,-0.29812503,-0.19785719,-0.0603603646159172,-0.0414076944192251,-0.0312902091456795,-0.0236165768375971,2.1329226e-08,0.121703222529807,0.402266033077838
0.3647919999999999,0.48094565,-0.56608701,-0.21417326,-0.198437497019768,-0.0418830389777819,-0.0505682880206446,-0.0399058998790532,1.8161852e-08,-0.0045829296916713,-2.05816314649983
-0.0073469999999999,0.56675643,-0.40221772,0.23029043,-0.0542322993278503,-0.0359054560669594,-0.0231748144751026,-0.0386067968901338,1.136616e-08,0.0495471297983228,-0.149002498831233
0.152023,0.98118889,-0.05985029,0.55144042,-0.0431034453213215,0.0449252412137058,-0.0228648422133702,-0.0335725519596717,7.5955162e-09,0.0197113694961361,0.265425885373998
-0.002539,0.75312501,-0.20079736,-0.019124061,-0.0885776430368423,-0.0240847617646472,-0.0274290634980951,-0.0179487035170928,1.8902105e-08,0.0850951096841267,-1.36720512401299
0.023854,1.0247934,0.37038985,0.32217374,-0.0273267533630133,0.0533463137431277,-0.0155211103361175,-0.0204314294536397,1.1530414e-08,0.0650637953123451,0.271690293895576
0.12443,0.78599018,-0.20813882,-0.027273688,-0.0578800514340401,-0.0143924094736576,-0.023678920938536,-0.013119272406522,1.5607668e-08,0.0109127901222972,-0.429471155577447
0.102192,0.72057056,-0.2936421,-0.043845341,-0.0509586408734322,-0.0173757283224,-0.0179678604116447,-0.0199008743027598,1.8848919e-08,0.0289324508290847,-1.02939697034474
0.0462249999999999,0.70618331,-0.21287645,-0.18054055,-0.0761750489473343,-0.0369628846852316,-0.022000176592348,-0.0294069548755489,2.6605669e-08,0.048148291003283,-1.64603772281957
0.053597,0.97343773,0.037605684,-0.0063208384,-0.0198126528412104,0.0114450574749046,-0.0101096708773339,-0.0142519593680096,3.285113e-08,0.0045290513763514,0.331264439108171
0.225213,0.63839281,-0.42238683,-0.061414797,-0.0948453694581985,-0.050837103691366,-0.0281140138276194,-0.0226379514018864,2.4449385e-08,0.101774328757766,-1.31117199552493
-0.0002279999999999,0.43089178,-0.52082062,-0.046505388,-0.0432431995868683,-0.0609009078082939,-0.0241004129723182,-0.0202941225773321,1.4277643e-08,-0.0155176119833848,0.473450068017077
0.198227,0.96113664,-0.020929027,-0.022924036,-0.0517588295042515,-0.0174969109810061,-0.0242538931034586,-0.0238074061306368,2.5038585e-08,-0.0583944993048498,-0.17619047709085
0.081555,0.82539374,-0.05658751,-0.0028308751,-0.0346754156053066,0.0207242738688365,-0.0152649037391656,-0.016315708256203,2.1112776e-08,0.1293302488254823,-0.647594568256417
0.165728,0.77599388,-0.28688523,-0.093750052,-0.0913403853774071,-0.0296222995966673,-0.0312438064423208,-0.0223586238105176,3.2722795e-08,0.0250195291241616,-0.388447919719045
0.110511,0.6338703,-0.2619718,-0.12898934,-0.0380228161811829,-0.024775061238971,-0.0186135676552156,-0.0225224834329239,1.1606684e-08,0.0834532462060451,0.234887266818417
0.476419,0.87977529,-0.35247406,0.30702847,-0.134948089718819,0.0098157910009225,-0.0379582272678063,-0.0329511698934053,3.0897478e-08,0.034101554341667,-1.03229500046618
0.085167,0.9628253,-0.028487479,0.012060104,-0.0249006263911724,0.0038675740361214,-0.0085830167763864,-0.0149522403916723,2.286567e-08,0.0939844469665676,-0.670373434731039
0.149543,0.79508197,-0.27434105,-0.028098008,-0.0345587730407715,-0.0142630339703626,-0.0189454657936271,-0.0263597906446858,1.3778825e-08,-0.043402168195517,0.448416155263411
0.0497289999999999,0.85652953,-0.079816267,0.14394848,-0.0354703813791275,-0.002807575588425,-0.0181050318899216,-0.0207824508978538,1.6613193e-08,0.0797070279235963,0.275537261709867
0.161223,0.52665704,-0.48273027,-0.16300732,-0.0650470182299614,-0.0314541713645061,-0.033232780852188,-0.0315890827019342,5.6075153e-09,-0.0064069732369828,0.0137963481872496
0.071339,0.52999121,-0.45145386,0.039021745,-0.0388919785618782,-0.0400781772202916,-0.0188569291198974,-0.0188662030150179,1.1277743e-08,0.0536890334271247,-0.106161453405326
0.120817,0.620309,-0.3493506,-0.084094986,-0.0642202571034431,0.0106122530996799,-0.0241667516144589,-0.0391512844855594,2.7480931e-08,0.0586432557375658,-0.736016142959151
0.0352899999999999,0.78922874,-0.081426084,0.086651042,-0.0310994740575552,-0.0125209444926845,-0.0181248922151247,-0.0172073706035346,2.1912008e-08,0.0425821586520355,-0.172692668639409
0.116551,0.74983668,-0.20117779,0.11899681,-0.0761632025241852,0.0147168755841752,-0.0335668203614243,-0.0278120514625672,4.6006265e-09,0.0161947879707479,0.0621848285464043
0.093503,0.88419956,-0.096957684,-0.041487731,-0.0265688057988882,-0.0085129679905044,-0.0137092692307119,-0.0138125027579574,3.1446852e-08,0.0671700609472645,0.362389632168875
0.132746,0.60064584,-0.38320804,0.097680673,-0.0572000108659267,-0.0162045228191548,-0.023452120992692,-0.0266382465314938,7.6376399e-09,0.1979317702580488,-0.47392514263538
-0.051786,0.81085974,0.11452174,0.5475409,-0.0780207887291908,0.133509664071931,-0.027421095740667,-0.0578516020822486,1.9617788e-08,0.13931051672089,-0.656060072210468
0.300166,0.52995783,-0.51866931,-0.25149441,-0.0641780942678452,-0.0657706005084846,-0.0222105334865396,-0.0188288476335413,1.2302102e-08,0.1056138096525348,-0.293359806197235
0.034345,0.61357778,-0.40080154,0.28879315,-0.0782608389854431,0.0186515549818675,-0.0353268615606718,-0.0497001327801413,5.7282268e-08,0.140333955943146,-0.0604429263442483
